question,option_a,option_a_translation,option_b,option_b_translation,
question
אש או מים
ירושלים או תל-אביב
חורף או קיץ
מוות או גלות
1967 או 1948
זהב או ברזל
אמא או אבא
כחול או אדום
עבודה או בילוי
ימין או שמאל
לבד או ביחד
צפרדי או קרפד
השמן או הרזה
מזרח או מערב
שחור או לבן
פעם או פעמיים
אינדיאנים או בוקרים
היפה או החיה
אריק או בנץ
השמונים או התשעים
דוד או יונתן
על האש או מטוגן
בטמן או סופרמן
הר או ים
זהב או כסף
גיטרה או תופים
הארדקור או צ׳יל
פוסט או מודרניזם
אמת או שקר
עבר או עתיד
מכבי או הפועל
טהור או מעורבב
ירדנה או עופרה
שלום או ביטחון
מזל או שכל
צדק או חוכמה
חלל או מצולות
צפון או דרום
סיינפלד או חברים
ביבי או שרה
בית ראשון או בית שני
שתי ציפורים בעץ או ציפור אחת ביד
מלאכה או בטלה
ביד או בפה
בפנים או בחוץ
פייס או אינסטה
קפה או תה
כלב או חתול
דץ או דצה
בנים או בנות
טוב או רע
לטבוע או להשרף
בוקר או לילה
קולה או פפסי
לונפארק או סופרלנד
אוטובוס או רכבת
כלב או ילד
סטלין או היטלר
סיני או ברלין
קרחת או כרס
פרידה או דחיה
ישר או מסביב
אנכי או אופקי
שיחה או הודעה
ריבוע או עיגול
כסף או אהבה
בידה או טואלט
בשר או חלב
מק או פי-סי
ערבית או עברית
שבתות או חגים
נינג׳ות או פירטים
ספריה או מוזיאון
שוקולד או וניל
לירקוד או לשיר
ירקות או פירות
מתוק או מלוח
המלכה או האם
1967 או 1973
סוריה או אירן
גלות או מוות
סקילה או תליה
דבש או סילן
צמחני או טבעוני
שמן או מים
ארוך או רחב
סחי או בלטה
אמת או חובה
אחרי או בחגים
שלום או חבר
הישאלי או המכוער
להרוג טורקי או לנוח
נחמן או מאומן
שלום או עכשיו
שק לי או בתחת
מקופלת או טעמי
במבה או ביסלי
שמשון או יובב
תאורטי או מעשי
לא תרצח או לא תנאף
נסיכה או צפרדע
ככה או ככה
עכשיו או מחר
אקטיבי או פסיבי
עכשיו או לעולם לא
ראש או זנב
ראש השנה או פסח
אנאלוגי או דיגיטלי
סנדלים כפכפים
סטטיק או בן-אל
אלון או נמיר
אדום או ירוק
זוג  או שלישיה
ביחד או לבד
מאדים או ירח
חולה או אלמנה
אולטרה אדום או אינפרה סגול
ברידג׳ או שחמט
לייזר או שעווה
אריק איינשטיין או שלום חנוך
מסי או רונלדו
ג׳ורדון או לברון
מדונה או בריטני
ביונסה או סולאנג׳
מלחמה או שלום
כדורסל או כדורגל
עכביש או ג׳וק
יורו או דולר
סין או יפן
בכור או סנדביץ׳
בצלאל או שנקר
לנון או מקרטני
גחנון או מלאוואח
פיתה או לחמניה
שבק או המוסד
ללא ספק או חד-משמעי
סמי או סוסו
איתך או בלעדייך
משינה או בנזין
ירידה או עליה
בית שמאי או בית הלל
לאט או בזהירות
גאות או שפל
ירח או שמש
עט או עיפרון
דור ה-x או דור ה-y
פרצוף או תחת
דם או מים
לצוף או ליצלול
שקט או רטט
לנקות או לסדר
כלים או כביסה
אדם או מכונה
למה?
באוויר או ביבשה
כביש אחד או 443
בוטוקס או סיליקון
חום או ירוק
פופ או אתיקה
במקל או בסרגל
שב״כ או המוסד
יפה או שושנה
שדרות או רוטשילד
מקלדת או עכבר
מהחלון או מהדלת
עץ או פלי
שלי או שלך
צורה או תוכן
הכל או כלום
טבעי או מלאכותי
חייזרים או זומבים
עם או בלי
בטור או במקביל
ארץ או עיר
לא רוצה או לא יכול
מתח או אימה
